"covariate","mean","95% CI","species"
"Pasture hay",19418,"50-47961","Cassin's Vireo"
"Developed low intensity",29612,"1069-50000","Cedar Waxwing"
"Cultivated crop",3108,"1069-6166","Cedar Waxwing"
"Woody wetland",3108,"1069-29612","Cedar Waxwing"
"Emergent wetland",17380,"50-50000","Cedar Waxwing"
"Ocean",27573,"50-50000","Cedar Waxwing"
"Lakes",6166,"1069-43884","Cedar Waxwing"
"Rivers",27573,"1069-50000","Cedar Waxwing"
"Elevation",1069,"50-6166","Cedar Waxwing"
"Aspect",11263,"1069-47961","Cedar Waxwing"
"Slope",23496,"50-50000","Cedar Waxwing"
"Precipitation",36000,"7000-50000","Cedar Waxwing"
"Developed high intensity",15341,"1069-50000","Cedar Waxwing"
"Max temperature",34000,"14000-50000","Cedar Waxwing"
"Barren land",17380,"1069-50000","Cedar Waxwing"
"Deciduous forest",25535,"4128-50000","Cedar Waxwing"
"Evergreen forest",1069,"50-15341","Cedar Waxwing"
"Mixed forest",6166,"1069-43884","Cedar Waxwing"
"Shrub scrub",25535,"50-50000","Cedar Waxwing"
"Grassland herbaceous",31651,"1069-50000","Cedar Waxwing"
"Pasture hay",15341,"50-45922","Cedar Waxwing"
"Developed low intensity",6166,"1069-43884","Chestnut-backed Chickadee"
"Cultivated crop",25535,"3108-50000","Chestnut-backed Chickadee"
"Woody wetland",25535,"5147-47961","Chestnut-backed Chickadee"
"Emergent wetland",15341,"1069-47961","Chestnut-backed Chickadee"
"Ocean",13302,"50-45922","Chestnut-backed Chickadee"
"Lakes",17380,"50-50000","Chestnut-backed Chickadee"
"Rivers",15341,"50-47961","Chestnut-backed Chickadee"
"Elevation",33690,"1069-50000","Chestnut-backed Chickadee"
"Aspect",11263,"1069-50000","Chestnut-backed Chickadee"
"Slope",17380,"50-50000","Chestnut-backed Chickadee"
"Precipitation",26000,"2000-50000","Chestnut-backed Chickadee"
"Developed high intensity",1069,"50-25535","Chestnut-backed Chickadee"
"Max temperature",20000,"2000-48000","Chestnut-backed Chickadee"
"Barren land",10244,"50-50000","Chestnut-backed Chickadee"
"Deciduous forest",15341,"50-50000","Chestnut-backed Chickadee"
"Evergreen forest",50,"50-50","Chestnut-backed Chickadee"
"Mixed forest",23496,"50-50000","Chestnut-backed Chickadee"
"Shrub scrub",31651,"3108-50000","Chestnut-backed Chickadee"
"Grassland herbaceous",27573,"1069-50000","Chestnut-backed Chickadee"
"Pasture hay",19418,"1069-47961","Chestnut-backed Chickadee"
"Developed low intensity",11263,"1069-47961","Chestnut-collared Longspur"
"Cultivated crop",35729,"5147-50000","Chestnut-collared Longspur"
"Woody wetland",13302,"50-50000","Chestnut-collared Longspur"
"Emergent wetland",17380,"50-50000","Chestnut-collared Longspur"
"Ocean",15341,"50-47961","Chestnut-collared Longspur"
"Lakes",19418,"50-50000","Chestnut-collared Longspur"
"Rivers",19418,"1069-50000","Chestnut-collared Longspur"
"Elevation",21457,"50-50000","Chestnut-collared Longspur"
"Aspect",21457,"1069-50000","Chestnut-collared Longspur"
"Slope",19418,"1069-50000","Chestnut-collared Longspur"
"Precipitation",20000,"1000-50000","Chestnut-collared Longspur"
"Developed high intensity",17380,"50-50000","Chestnut-collared Longspur"
"Max temperature",20000,"1000-48000","Chestnut-collared Longspur"
"Barren land",21457,"1069-50000","Chestnut-collared Longspur"
"Deciduous forest",21457,"1069-50000","Chestnut-collared Longspur"
"Evergreen forest",27573,"1069-50000","Chestnut-collared Longspur"
"Mixed forest",19418,"1069-50000","Chestnut-collared Longspur"
"Shrub scrub",13302,"50-47961","Chestnut-collared Longspur"
"Grassland herbaceous",2089,"50-23496","Chestnut-collared Longspur"
"Pasture hay",31651,"1069-50000","Chestnut-collared Longspur"
"Developed low intensity",3108,"1069-6166","Chestnut-sided Warbler"
"Cultivated crop",6166,"50-47961","Chestnut-sided Warbler"
"Woody wetland",35729,"5147-50000","Chestnut-sided Warbler"
"Emergent wetland",11263,"1069-45922","Chestnut-sided Warbler"
"Ocean",19418,"50-47961","Chestnut-sided Warbler"
"Lakes",1069,"50-1069","Chestnut-sided Warbler"
"Rivers",29612,"6166-47961","Chestnut-sided Warbler"
"Elevation",10244,"50-47961","Chestnut-sided Warbler"
"Aspect",5147,"50-47961","Chestnut-sided Warbler"
"Slope",9224,"1069-50000","Chestnut-sided Warbler"
"Precipitation",22000,"2000-50000","Chestnut-sided Warbler"
"Developed high intensity",29612,"4128-50000","Chestnut-sided Warbler"
"Max temperature",1000,"1000-3000","Chestnut-sided Warbler"
"Barren land",43884,"29612-50000","Chestnut-sided Warbler"
"Deciduous forest",1069,"50-1069","Chestnut-sided Warbler"
"Evergreen forest",35729,"1069-50000","Chestnut-sided Warbler"
"Mixed forest",37767,"13302-50000","Chestnut-sided Warbler"
"Shrub scrub",9224,"6166-11263","Chestnut-sided Warbler"
"Grassland herbaceous",27573,"1069-50000","Chestnut-sided Warbler"
"Pasture hay",39806,"15341-50000","Chestnut-sided Warbler"
"Developed low intensity",13302,"1069-43884","Chihuahuan Meadowlark"
"Cultivated crop",17380,"50-50000","Chihuahuan Meadowlark"
"Woody wetland",27573,"1069-47961","Chihuahuan Meadowlark"
"Emergent wetland",29612,"2089-50000","Chihuahuan Meadowlark"
"Ocean",19418,"50-50000","Chihuahuan Meadowlark"
"Lakes",15341,"3108-50000","Chihuahuan Meadowlark"
"Rivers",15341,"50-47961","Chihuahuan Meadowlark"
"Elevation",23496,"1069-50000","Chihuahuan Meadowlark"
"Aspect",25535,"1069-50000","Chihuahuan Meadowlark"
"Slope",6166,"1069-43884","Chihuahuan Meadowlark"
"Precipitation",20000,"1000-50000","Chihuahuan Meadowlark"
"Developed high intensity",19418,"1069-47961","Chihuahuan Meadowlark"
"Max temperature",18000,"1000-50000","Chihuahuan Meadowlark"
"Barren land",17380,"50-50000","Chihuahuan Meadowlark"
"Deciduous forest",43884,"29612-50000","Chihuahuan Meadowlark"
"Evergreen forest",37767,"1069-50000","Chihuahuan Meadowlark"
"Mixed forest",19418,"50-50000","Chihuahuan Meadowlark"
"Shrub scrub",13302,"50-47961","Chihuahuan Meadowlark"
"Grassland herbaceous",8205,"1069-47961","Chihuahuan Meadowlark"
"Pasture hay",21457,"50-50000","Chihuahuan Meadowlark"
"Developed low intensity",1069,"1069-1069","Chimney Swift"
"Cultivated crop",25535,"50-50000","Chimney Swift"
"Woody wetland",15341,"50-50000","Chimney Swift"
"Emergent wetland",31651,"50-50000","Chimney Swift"
"Ocean",15341,"1069-47961","Chimney Swift"
"Lakes",19418,"1069-50000","Chimney Swift"
"Rivers",5147,"50-47961","Chimney Swift"
"Elevation",13302,"50-47961","Chimney Swift"
"Aspect",21457,"1069-50000","Chimney Swift"
"Slope",31651,"50-50000","Chimney Swift"
"Precipitation",20000,"1000-50000","Chimney Swift"
"Developed high intensity",1069,"1069-3108","Chimney Swift"
"Max temperature",7000,"1000-46000","Chimney Swift"
"Barren land",21457,"2089-50000","Chimney Swift"
"Deciduous forest",21457,"50-50000","Chimney Swift"
"Evergreen forest",5147,"50-43884","Chimney Swift"
"Mixed forest",27573,"50-50000","Chimney Swift"
"Shrub scrub",17380,"1069-47961","Chimney Swift"
"Grassland herbaceous",4128,"1069-41845","Chimney Swift"
"Pasture hay",10244,"50-47961","Chimney Swift"
"Developed low intensity",50,"50-50","Chipping Sparrow"
"Cultivated crop",39806,"7186-50000","Chipping Sparrow"
"Woody wetland",21457,"11263-37767","Chipping Sparrow"
"Emergent wetland",1069,"50-1069","Chipping Sparrow"
"Ocean",13302,"1069-47961","Chipping Sparrow"
"Lakes",23496,"50-47961","Chipping Sparrow"
"Rivers",15341,"50-45922","Chipping Sparrow"
"Elevation",17380,"50-47961","Chipping Sparrow"
"Aspect",15341,"2089-47961","Chipping Sparrow"
"Slope",1069,"50-29612","Chipping Sparrow"
"Precipitation",3000,"1000-11000","Chipping Sparrow"
"Developed high intensity",7186,"2089-11263","Chipping Sparrow"
"Max temperature",2000,"1000-6000","Chipping Sparrow"
"Barren land",25535,"1069-50000","Chipping Sparrow"
"Deciduous forest",1069,"1069-2089","Chipping Sparrow"
"Evergreen forest",1069,"1069-1069","Chipping Sparrow"
"Mixed forest",2089,"1069-17380","Chipping Sparrow"
"Shrub scrub",15341,"50-47961","Chipping Sparrow"
"Grassland herbaceous",21457,"1069-50000","Chipping Sparrow"
"Pasture hay",9224,"50-41845","Chipping Sparrow"
"Developed low intensity",9224,"50-47961","Cinnamon Teal"
"Cultivated crop",21457,"1069-50000","Cinnamon Teal"
"Woody wetland",17380,"50-50000","Cinnamon Teal"
"Emergent wetland",3108,"50-37767","Cinnamon Teal"
"Ocean",19418,"1069-50000","Cinnamon Teal"
"Lakes",50,"50-1069","Cinnamon Teal"
"Rivers",25535,"1069-50000","Cinnamon Teal"
"Elevation",23496,"1069-50000","Cinnamon Teal"
"Aspect",7186,"1069-43884","Cinnamon Teal"
"Slope",13302,"50-47961","Cinnamon Teal"
"Precipitation",20000,"1000-50000","Cinnamon Teal"
"Developed high intensity",17380,"50-50000","Cinnamon Teal"
"Max temperature",14000,"1000-48000","Cinnamon Teal"
"Barren land",13302,"50-50000","Cinnamon Teal"
"Deciduous forest",33690,"2089-50000","Cinnamon Teal"
"Evergreen forest",8205,"1069-47961","Cinnamon Teal"
"Mixed forest",17380,"50-50000","Cinnamon Teal"
"Shrub scrub",15341,"50-47961","Cinnamon Teal"
"Grassland herbaceous",17380,"50-47961","Cinnamon Teal"
"Pasture hay",19418,"1069-50000","Cinnamon Teal"
"Developed low intensity",17380,"50-50000","Clark's Grebe"
"Cultivated crop",23496,"1069-50000","Clark's Grebe"
"Woody wetland",15341,"50-50000","Clark's Grebe"
"Emergent wetland",13302,"1069-47961","Clark's Grebe"
"Ocean",9224,"1069-45922","Clark's Grebe"
"Lakes",1069,"1069-1069","Clark's Grebe"
"Rivers",27573,"1069-50000","Clark's Grebe"
"Elevation",21457,"50-50000","Clark's Grebe"
"Aspect",15341,"1069-50000","Clark's Grebe"
"Slope",17380,"50-50000","Clark's Grebe"
"Precipitation",22000,"1000-50000","Clark's Grebe"
"Developed high intensity",19418,"50-50000","Clark's Grebe"
"Max temperature",20000,"1000-50000","Clark's Grebe"
"Barren land",23496,"50-50000","Clark's Grebe"
"Deciduous forest",19418,"50-50000","Clark's Grebe"
"Evergreen forest",19418,"1069-50000","Clark's Grebe"
"Mixed forest",23496,"1069-50000","Clark's Grebe"
"Shrub scrub",19418,"50-50000","Clark's Grebe"
"Grassland herbaceous",23496,"50-50000","Clark's Grebe"
"Pasture hay",17380,"50-50000","Clark's Grebe"
"Developed low intensity",11263,"50-45922","Clark's Nutcracker"
"Cultivated crop",19418,"50-50000","Clark's Nutcracker"
"Woody wetland",15341,"50-47961","Clark's Nutcracker"
"Emergent wetland",19418,"50-50000","Clark's Nutcracker"
"Ocean",19418,"1069-50000","Clark's Nutcracker"
"Lakes",19418,"1069-50000","Clark's Nutcracker"
"Rivers",21457,"1069-50000","Clark's Nutcracker"
"Elevation",5147,"50-41845","Clark's Nutcracker"
"Aspect",19418,"50-50000","Clark's Nutcracker"
"Slope",13302,"50-47961","Clark's Nutcracker"
"Precipitation",20000,"1000-50000","Clark's Nutcracker"
"Developed high intensity",19418,"1069-47961","Clark's Nutcracker"
"Max temperature",3000,"1000-22000","Clark's Nutcracker"
"Barren land",17380,"2089-47961","Clark's Nutcracker"
"Deciduous forest",23496,"1069-50000","Clark's Nutcracker"
"Evergreen forest",10244,"50-47961","Clark's Nutcracker"
"Mixed forest",27573,"1069-50000","Clark's Nutcracker"
"Shrub scrub",7186,"50-47961","Clark's Nutcracker"
"Grassland herbaceous",15341,"50-50000","Clark's Nutcracker"
"Pasture hay",19418,"50-50000","Clark's Nutcracker"
"Developed low intensity",1069,"1069-4128","Cliff Swallow"
"Cultivated crop",2089,"1069-9224","Cliff Swallow"
"Woody wetland",37767,"17380-50000","Cliff Swallow"
"Emergent wetland",1069,"1069-1069","Cliff Swallow"
"Ocean",13302,"50-47961","Cliff Swallow"
"Lakes",1069,"1069-2089","Cliff Swallow"
"Rivers",4128,"50-19418","Cliff Swallow"
"Elevation",19418,"50-50000","Cliff Swallow"
"Aspect",15341,"1069-47961","Cliff Swallow"
"Slope",23496,"50-50000","Cliff Swallow"
"Precipitation",11000,"1000-46000","Cliff Swallow"
"Developed high intensity",4128,"50-47961","Cliff Swallow"
"Max temperature",20000,"1000-50000","Cliff Swallow"
"Barren land",9224,"50-47961","Cliff Swallow"
"Deciduous forest",50,"50-50","Cliff Swallow"
"Evergreen forest",50,"50-50","Cliff Swallow"
"Mixed forest",10244,"50-47961","Cliff Swallow"
"Shrub scrub",13302,"1069-50000","Cliff Swallow"
"Grassland herbaceous",23496,"1069-50000","Cliff Swallow"
"Pasture hay",15341,"1069-47961","Cliff Swallow"
"Developed low intensity",15341,"1069-47961","Common Gallinule"
"Cultivated crop",21457,"1069-50000","Common Gallinule"
"Woody wetland",13302,"1069-47961","Common Gallinule"
"Emergent wetland",50,"50-50","Common Gallinule"
"Ocean",17380,"50-50000","Common Gallinule"
"Lakes",9224,"50-45922","Common Gallinule"
"Rivers",27573,"1069-50000","Common Gallinule"
"Elevation",21457,"50-50000","Common Gallinule"
"Aspect",15341,"50-47961","Common Gallinule"
"Slope",19418,"50-50000","Common Gallinule"
"Precipitation",28000,"2000-50000","Common Gallinule"
"Developed high intensity",19418,"50-50000","Common Gallinule"
"Max temperature",20000,"1000-50000","Common Gallinule"
"Barren land",21457,"50-50000","Common Gallinule"
"Deciduous forest",25535,"1069-50000","Common Gallinule"
"Evergreen forest",27573,"1069-50000","Common Gallinule"
"Mixed forest",17380,"1069-50000","Common Gallinule"
"Shrub scrub",21457,"1069-50000","Common Gallinule"
"Grassland herbaceous",17380,"1069-50000","Common Gallinule"
"Pasture hay",15341,"1069-47961","Common Gallinule"
"Developed low intensity",50,"50-2089","Common Grackle"
"Cultivated crop",4128,"1069-9224","Common Grackle"
"Woody wetland",9224,"1069-45922","Common Grackle"
"Emergent wetland",13302,"4128-39806","Common Grackle"
"Ocean",25535,"50-50000","Common Grackle"
"Lakes",19418,"1069-50000","Common Grackle"
"Rivers",35729,"50-50000","Common Grackle"
"Elevation",7186,"50-45922","Common Grackle"
"Aspect",19418,"1069-50000","Common Grackle"
"Slope",1069,"50-1069","Common Grackle"
"Precipitation",24000,"2000-50000","Common Grackle"
"Developed high intensity",13302,"1069-31651","Common Grackle"
"Max temperature",42000,"18000-50000","Common Grackle"
"Barren land",27573,"50-50000","Common Grackle"
"Deciduous forest",1069,"50-1069","Common Grackle"
"Evergreen forest",1069,"1069-2089","Common Grackle"
"Mixed forest",1069,"50-2089","Common Grackle"
"Shrub scrub",5147,"1069-39806","Common Grackle"
"Grassland herbaceous",4128,"1069-45922","Common Grackle"
"Pasture hay",3108,"50-35729","Common Grackle"
"Developed low intensity",17380,"2089-50000","Common Ground Dove"
"Cultivated crop",17380,"50-50000","Common Ground Dove"
"Woody wetland",8205,"1069-45922","Common Ground Dove"
"Emergent wetland",19418,"50-47961","Common Ground Dove"
"Ocean",19418,"50-50000","Common Ground Dove"
"Lakes",23496,"50-50000","Common Ground Dove"
"Rivers",25535,"1069-50000","Common Ground Dove"
"Elevation",17380,"50-50000","Common Ground Dove"
"Aspect",19418,"50-50000","Common Ground Dove"
"Slope",21457,"1069-50000","Common Ground Dove"
"Precipitation",22000,"1000-50000","Common Ground Dove"
"Developed high intensity",13302,"50-47961","Common Ground Dove"
"Max temperature",14000,"1000-48000","Common Ground Dove"
"Barren land",15341,"1069-50000","Common Ground Dove"
"Deciduous forest",23496,"1069-50000","Common Ground Dove"
"Evergreen forest",17380,"1069-50000","Common Ground Dove"
"Mixed forest",27573,"2089-50000","Common Ground Dove"
"Shrub scrub",10244,"50-47961","Common Ground Dove"
"Grassland herbaceous",21457,"50-50000","Common Ground Dove"
"Pasture hay",19418,"1069-47961","Common Ground Dove"
"Developed low intensity",9224,"50-47961","Common Loon"
"Cultivated crop",11263,"1069-47961","Common Loon"
"Woody wetland",15341,"2089-47961","Common Loon"
"Emergent wetland",43884,"27573-50000","Common Loon"
"Ocean",1069,"1069-3108","Common Loon"
"Lakes",1069,"1069-1069","Common Loon"
"Rivers",21457,"1069-50000","Common Loon"
"Elevation",19418,"50-50000","Common Loon"
"Aspect",6166,"50-45922","Common Loon"
"Slope",17380,"2089-47961","Common Loon"
"Precipitation",22000,"2000-50000","Common Loon"
"Developed high intensity",27573,"3108-50000","Common Loon"
"Max temperature",24000,"1000-50000","Common Loon"
"Barren land",13302,"1069-47961","Common Loon"
"Deciduous forest",9224,"2089-45922","Common Loon"
"Evergreen forest",17380,"1069-50000","Common Loon"
"Mixed forest",37767,"10244-50000","Common Loon"
"Shrub scrub",19418,"1069-50000","Common Loon"
"Grassland herbaceous",23496,"50-50000","Common Loon"
"Pasture hay",11263,"1069-45922","Common Loon"
"Developed low intensity",23496,"1069-50000","Common Merganser"
"Cultivated crop",17380,"50-50000","Common Merganser"
"Woody wetland",17380,"1069-47961","Common Merganser"
"Emergent wetland",19418,"50-50000","Common Merganser"
"Ocean",17380,"50-50000","Common Merganser"
"Lakes",1069,"1069-1069","Common Merganser"
"Rivers",1069,"50-35729","Common Merganser"
"Elevation",23496,"1069-50000","Common Merganser"
"Aspect",9224,"50-47961","Common Merganser"
"Slope",13302,"50-47961","Common Merganser"
"Precipitation",24000,"1000-50000","Common Merganser"
"Developed high intensity",23496,"1069-50000","Common Merganser"
"Max temperature",36000,"5000-50000","Common Merganser"
"Barren land",23496,"1069-50000","Common Merganser"
"Deciduous forest",15341,"50-47961","Common Merganser"
"Evergreen forest",13302,"50-50000","Common Merganser"
"Mixed forest",17380,"1069-47961","Common Merganser"
"Shrub scrub",13302,"50-47961","Common Merganser"
"Grassland herbaceous",21457,"50-50000","Common Merganser"
"Pasture hay",19418,"1069-50000","Common Merganser"
"Developed low intensity",4128,"2089-9224","Common Raven"
"Cultivated crop",17380,"2089-47961","Common Raven"
"Woody wetland",43884,"27573-50000","Common Raven"
"Emergent wetland",39806,"5147-50000","Common Raven"
"Ocean",19418,"1069-47961","Common Raven"
"Lakes",9224,"4128-39806","Common Raven"
"Rivers",23496,"2089-50000","Common Raven"
"Elevation",27573,"2089-50000","Common Raven"
